Password,Times
njvtecu,1.0
kjzqt,0.0
njrbiv,1.0
zyzwnwc,1.0
tpqmhfx,0.0
sqkoxhnzy,0.0
hnbyz,0.0
mjstfx,0.0
fqoobxs,0.0
nvewybdn,1.0
tjlvpuc,1.0
btatzg,0.0
vuipvjuci,1.0
tqjp,1.0
kbazjnzt,0.0
eyrwq,1.0
nveecpv,1.0
nmecuju,1.0
ahatpqaxp,0.0
emypzz,1.0
iqpxxt,0.0
myan,0.0
azhjttabtp,0.0
oqnqxz,0.0
mzltpjqdv,1.0
yzpttqq,1.0
mjrruinn,1.0
smyojokab,0.0
cdcwrirwp,1.0
ybhqz,0.0
vpblce,1.0
bskfgjot,0.0
iwzmpc,1.0
xzixp,0.0
nzxhf,0.0
dqbc,1.0
yafkimnx,0.0
pfsbjf,0.0
jbrnirre,1.0
sonjattbi,0.0
qxaqtnyzo,0.0
bucnjvy,1.0
ruzvebzp,1.0
zsmq,0.0
hayghygty,0.0
jizvt,1.0
pdmrwtprpq,1.0
pevt,1.0
zamtfiok,0.0
vnlndtmezi,1.0
dbnbj,1.0
bxqyy,0.0
istgpmb,0.0
mfnbiqbn,0.0
rzzbypjdvb,1.0
crddqrue,1.0
bbia,0.0
ifnfazth,0.0
tqtjak,0.0
qigi,0.0
fppotph,0.0
uetvuvtli,1.0
tonbtx,0.0
qqhyyfiob,0.0
ivqm,1.0
wdedmvbbul,1.0
drurvrpqic,1.0
ijqb,1.0
vcpyldyycw,1.0
skgij,0.0
nbbevyi,1.0
hjamto,0.0
dpvrdll,1.0
zihgm,0.0
hmxmhtf,0.0
okhsh,0.0
iazzhhhnpx,0.0
ospptm,0.0
hhtxjgaao,0.0
cwmpetzenr,1.0
gbkny,0.0
nyxgisbig,0.0
vyidw,1.0
zmjymyrn,1.0
qsasmzxs,0.0
hsysss,0.0
phpxqt,0.0
pogqok,0.0
jcqtzymz,1.0
epcdjenuw,1.0
kxhogmg,0.0
bsyp,0.0
atskjhkiom,0.0
lluqrwqicw,1.0
reewtpeq,1.0
iqhxmnkn,0.0
bzuccp,1.0
zaxkfay,0.0
aznmiyjoo,0.0
sbyokag,0.0
mykkfkmo,0.0
qamy,0.0
lcllqvtwq,1.0
ylmpv,1.0
wwldwbudbi,1.0
jeuvjqtej,1.0
sogtznffq,0.0
yucndjt,1.0
vpdenvqlv,1.0
tcenwemwm,1.0
vcnvwndu,1.0
nnzmyj,1.0
pxaj,0.0
tbagaf,0.0
fnmo,0.0
nmojko,0.0
btqeilbrbd,1.0
bbce,1.0
bgyqnnbiox,0.0
qhtmq,0.0
npxx,0.0
ozoxn,0.0
fmabxgsxq,0.0
snjz,0.0
ucunvllc,1.0
qyiqmutc,1.0
mbtcbyld,1.0
reeiuylu,1.0
npmllp,1.0
tplrpi,1.0
niszgmo,0.0
ojnaha,0.0
yhmxs,0.0
kxmb,0.0
zwzwiruzqr,1.0
mankagtbn,0.0
issqo,0.0
vcpiwr,1.0
wvznibtm,1.0
qszshmybo,0.0
btxyf,0.0
wqlv,1.0
apig,0.0
sjbfso,0.0
jmnbly,1.0
bqbht,0.0
gkymps,0.0
jnfk,0.0
icrrtlc,1.0
tzka,0.0
utytbc,1.0
xzhmx,0.0
zeln,1.0
fnghqo,0.0
nclbmpc,1.0
nivjdjbe,1.0
dwjywzvqyt,1.0
afkat,0.0
qijtp,0.0
oxiff,0.0
zmqueerbyw,1.0
nkkhaabxo,0.0
mwyirvzjmm,1.0
vqzbtyc,1.0
npzmmhx,0.0
wjllrqjl,1.0
ijuqrqduny,1.0
wmcbmn,1.0
ihmag,0.0
baanogoon,0.0
mnivde,1.0
sgzkfxna,0.0
znjyvy,1.0
yzgtskyymb,0.0
iwupmevwb,1.0
iiyh,0.0
lbtqpi,1.0
aqxxoaq,0.0
ievpmcnln,1.0
jwlpi,1.0
wcqwwnywv,1.0
uvjiz,1.0
ucrylnv,1.0
jqlde,1.0
rpteqmlwjp,1.0
qzbllle,1.0
tmwptwqpq,1.0
ebpnq,1.0
pggxoyh,0.0
jecid,1.0
vjwep,1.0
pqizl,1.0
ddimqpejpd,1.0
gomf,0.0
rtlzci,1.0
ohihpyth,0.0
kgtgf,0.0
ofoo,0.0
amshinys,0.0
blmuzrbmd,1.0
leqnup,1.0
wmmv,1.0
wimeq,1.0
tnedjp,1.0
bynqbjb,0.0
rcedjcnpuq,1.0
ymzeunz,1.0
ngansspg,0.0
pzbdpjn,1.0
haoimh,0.0
jmizgq,0.0
jhkfobbfgj,0.0
umtcvwtww,1.0
ixbqi,0.0
virimwebbr,1.0
pphzp,0.0
abnsbpyzax,0.0
gbhg,0.0
yzzbpw,1.0
jvwitweq,1.0
ytvnmentv,1.0
nthiktnjmi,0.0
xfqay,0.0
amxzpmnabq,0.0
gpaxzftgiy,0.0
jjkiiimka,0.0
kjtt,0.0
nedtt,1.0
clvpyqq,1.0
fyzgxg,0.0
gbgiaxomt,0.0
rdvbrir,1.0
unyeytnvev,1.0
yrlb,1.0
hsixpnqhop,0.0
yczymt,1.0
idbbmq,1.0
amjypfqts,0.0
wpvuzy,1.0
ygihytxyz,0.0
fqmgohs,0.0
oopmnqi,0.0
nqgybpsszz,0.0
zmskzmzn,0.0
sshmk,0.0
zifqsjhmm,0.0
iuuq,1.0
xyptiif,0.0
bdbleydp,1.0
dpnzv,1.0
zrzq,1.0
oakszzssz,0.0
lmww,1.0
rcluqqbzee,1.0
mfmitt,0.0
trdrbrze,1.0
gsqzytsshg,0.0
tzmycqlcw,1.0
qzkxyiqb,0.0
jptcpqz,1.0
azfhqh,0.0
ayfbj,0.0
txhsx,0.0
xnbo,0.0
nbzsa,0.0
mtpmqljt,1.0
jzzbndli,1.0
kafk,0.0
yymwz,1.0
smhaao,0.0
obxgsjna,0.0
mhtqkfiyyp,0.0
tqyznhao,0.0
zmbvqd,1.0
ijmxhfntyq,0.0
mdqc,1.0
ytthkhzh,0.0
nzltmc,1.0
asxxymq,0.0
hjfqy,0.0
yatitjbqmx,0.0
mmqtmvvv,1.0
yqjnyyv,1.0
cdzj,1.0
hfhmppq,0.0
jirnr,1.0
tbtjwrbdn,1.0
skjqhy,0.0
hzxq,0.0
zujbvl,1.0
hgotmobhiz,0.0
lynybcprnr,1.0
anqy,0.0
veqwcd,1.0
yssqyxoh,0.0
ygofjpi,0.0
koyh,0.0
vmlyuub,1.0
yymp,1.0
tewctwu,1.0
izaoogihip,0.0
qtrmm,1.0
htjongifh,0.0
ljuc,1.0
cytc,1.0
mznctwrlc,1.0
cdwlqweuln,1.0
gbinakxosz,0.0
drqleubmm,1.0
nnqyqe,1.0
fysbjfab,0.0
ypyg,0.0
jhhitnztp,0.0
axmzbaaix,0.0
foonamfmp,0.0
ymtpuziyu,1.0
qttv,1.0
lqwpm,1.0
pzsat,0.0
qppy,1.0
fbmanoqo,0.0
kqmmpgaiz,0.0
mogzjx,0.0
gtbz,0.0
utvzbr,1.0
ddmmjeq,1.0
skyktqj,0.0
bbduyiwun,1.0
tptsoq,0.0
zvlzded,1.0
hbomozybf,0.0
smjkihokfp,0.0
vwzibby,1.0
ohtyiipyip,0.0
tmqdrutwv,1.0
hipgz,0.0
zjiylbnmt,1.0
ccjqybqpm,1.0
xmbyg,0.0
pbnik,0.0
nbftfooh,0.0
pqqyk,0.0
ygmmzoa,0.0
nsppsztgqy,0.0
hphzqj,0.0
pmmqrnpqd,1.0
vcrzjem,1.0
ztfafghq,0.0
dtnetccce,1.0
bjjs,0.0
gaxbxnb,0.0
nvweqiprm,1.0
cprliqn,1.0
ldwetzj,1.0
ymeejlwd,1.0
vejyc,1.0
umemc,1.0
nuldcy,1.0
ptigyg,0.0
retnj,1.0
ppotjnt,0.0
upqdjpl,1.0
nrdcqvz,1.0
jwyzttzbd,1.0
unucmvbd,1.0
llreuuye,1.0
yrvlu,1.0
vrvycbwzuv,1.0
ysisoyna,0.0
iptihbbiy,0.0
anfzhfpsj,0.0
yitnhh,0.0
xgigahkigp,0.0
hfgmyjyqks,0.0
yuuycyzy,1.0
dyubwiibp,1.0
ktkaspbjxa,0.0
bwrb,1.0
kzmfjyh,0.0
jozpoib,0.0
llcibpzn,1.0
kthkski,0.0
juelujqd,1.0
dedmt,1.0
wvrpeq,1.0
rccrnrunbj,1.0
jzqbimiy,0.0
nqimydztd,1.0
otnoj,0.0
hfgmbnomb,0.0
jqpgpaanzf,0.0
pdwej,1.0
jxtmso,0.0
rrynbtmznm,1.0
msbbni,0.0
ubvbyn,1.0
iyfkzxx,0.0
xkqg,0.0
hiptkskg,0.0
pooa,0.0
bbiqwtlb,1.0
zzkhm,0.0
zfsspp,0.0
rclci,1.0
pozt,0.0
kkzp,0.0
ueiiy,1.0
qbzhzzf,0.0
sagsmqny,0.0
vtziwbqr,1.0
puub,1.0
qobj,0.0
qtihnqsa,0.0
ueejvwlwe,1.0
mlbqirw,1.0
hgxbmbxtyg,0.0
vqryupm,1.0
nhngi,0.0
qmwrjzwne,1.0
zjqzi,1.0
nffxm,0.0
yitbi,1.0
jyxfifxzah,0.0
ndin,1.0
xoxty,0.0
iypeyq,1.0
bzxsmfiqkg,0.0
wrlrq,1.0
inpajbmta,0.0
rnwzpldd,1.0
mrbzce,1.0
kjkyhmaa,0.0
zgnonif,0.0
ifnmhmjmm,0.0
zwpnucjwr,1.0
zhkkpn,0.0
sxahoztpq,0.0
jdiydtq,1.0
bmcjduli,1.0
sagb,0.0
yimmv,1.0
pnhiq,0.0
aoytympzs,0.0
yttv,1.0
mtnqog,0.0
qqtdnpnzt,1.0
sbzb,0.0
zofkmkg,0.0
yfkzfj,0.0
pjpvtuucpb,1.0
tycqczmby,1.0
clyzu,1.0
yimftyg,0.0
omisaapz,0.0
zdep,1.0
uljdl,1.0
inpj,0.0
iyaff,0.0
gptiyj,0.0
qippkys,0.0
yxxoqgpgx,0.0
cvbupcp,1.0
tnvv,1.0
ynhnxamip,0.0
yqosn,0.0
twmll,1.0
dbpcmybzde,1.0
bppbfiqays,0.0
zjvujzurl,1.0
izpbiwmdd,1.0
diuiptctb,1.0
zbsy,0.0
pullyzbb,1.0
lwjnne,1.0
vtmz,1.0
mzyew,1.0
yaiqntfbi,0.0
sgtymo,0.0
tqiprcwt,1.0
bmabssh,0.0
koyjbmqiz,0.0
nmtmghj,0.0
ygxt,0.0
shqpjy,0.0
xhfftkks,0.0
opsmk,0.0
okyfgxjjak,0.0
mzdmv,1.0
xzskq,0.0
iljyyvuece,1.0
qzbkob,0.0
tpjzm,0.0
dbyz,1.0
ucjvtz,1.0
yqqd,1.0
xonb,0.0
zwvz,1.0
opxag,0.0
gjgshpnzkq,0.0
qoymiaa,0.0
hxjx,0.0
yghpfx,0.0
xhptzjbh,0.0
wdnme,1.0
vjppqvytvz,1.0
thiohmhj,0.0
bdbn,1.0
bnpe,1.0
imnt,0.0
pykkbzfoqt,0.0
ygkto,0.0
tkbykyyim,0.0
fopxzs,0.0
xjbm,0.0
ytpy,1.0
dbprzrz,1.0
jzjlrdzn,1.0
ipulren,1.0
yrpmu,1.0
mmyzkijg,0.0
ucvn,1.0
rvimintvue,1.0
bdumdze,1.0
timgxghzxt,0.0
mqnqqcc,1.0
tvnj,1.0
wpqypzdrpb,1.0
emjn,1.0
bbddqzwnre,1.0
jnqe,1.0
zthkypsok,0.0
jsbfniftf,0.0
tljebtuyu,1.0
nndyupqml,1.0
nmspoxjz,0.0
zpkkpgbp,0.0
ijzidp,1.0
yvvwz,1.0
ayxzphath,0.0
pbpxx,0.0
xshjxmmx,0.0
ilzint,1.0
xgfktya,0.0
nyrbzwbmii,1.0
dinwcurbwd,1.0
gxbaig,0.0
mdrupn,1.0
hkagy,0.0
lmebv,1.0
bhmbqoss,0.0
ccbuyyqqt,1.0
juleywcy,1.0
hfjgfzhf,0.0
pyfgmtj,0.0
fboqkjjjzi,0.0
ldlq,1.0
kxtn,0.0
iqcunrlj,1.0
sggxik,0.0
zxns,0.0
tyxbqsypx,0.0
bwpzzuum,1.0
ibrzpucqq,1.0
nylieywbty,1.0
dciqdliiyi,1.0
lqlnuei,1.0
ktmkoza,0.0
zmtbz,1.0
dmrnwtc,1.0
rmbpnw,1.0
pjopjmbmyg,0.0
pxihqqp,0.0
vzdqdu,1.0
qcdtjdy,1.0
pcwpvjb,1.0
mjclvu,1.0
rqnqdbeyq,1.0
cltncryrjj,1.0
txaobamm,0.0
bvzywzi,1.0
bvizijeu,1.0
erjduqdw,1.0
yfqpbhpan,0.0
zndrnybyj,1.0
sftmbgz,0.0
bhgz,0.0
ixop,0.0
ulivlzty,1.0
nmnh,0.0
idntecwd,1.0
xoxymtmbbi,0.0
kfxkzyyk,0.0
hmnfbak,0.0
ttbtn,1.0
qpmyft,0.0
zbwn,1.0
hhhmhomzfb,0.0
pbniizspq,0.0
zbjpmqjy,0.0
ultmt,1.0
noyf,0.0
hnzkkqk,0.0
gqszhii,0.0
ebnirpitiz,1.0
ttabozxf,0.0
sayyoyiax,0.0
mqwbdiwwr,1.0
shqfx,0.0
gkopoi,0.0
kssyzoh,0.0
ttcvwmdn,1.0
pyjkfyypq,0.0
sibxxjxyp,0.0
vrlzjzt,1.0
maaoo,0.0
urlwylc,1.0
byzvlmu,1.0
qptdnyvrd,1.0
bdvubltuun,1.0
zzpvp,1.0
nryvecqj,1.0
wczri,1.0
vmtezvet,1.0
ewqlnwznt,1.0
oofsjjf,0.0
fqymiyon,0.0
xqysksmhj,0.0
jbjqbuu,1.0
vqcnwb,1.0
vjwt,1.0
mihjkjyayj,0.0
pmqfnm,0.0
mluynrwtp,1.0
fmhxkh,0.0
yqqv,1.0
ooqzmyyoiq,0.0
yppcyl,1.0
pcreqpyumd,1.0
pistjt,0.0
jywe,1.0
fkqg,0.0
xqhmohhn,0.0
qzcm,1.0
obojipmhz,0.0
gqbpkf,0.0
rtryciy,1.0
etjie,1.0
ahhjm,0.0
tqizv,1.0
bntgftbn,0.0
lblrqrptzl,1.0
qhsbgh,0.0
wyruwn,1.0
bnlzjncew,1.0
uirnnmjt,1.0
yueli,1.0
nqizypmn,0.0
iqkxj,0.0
btnlwvz,1.0
gxnyfo,0.0
nqntccwbnn,1.0
zidiwwvbe,1.0
bbpjzd,1.0
wubpyqup,1.0
juvyqzwt,1.0
yzotzfio,0.0
lncz,1.0
jqyeibp,1.0
bxhng,0.0
zxxb,0.0
ijbthktp,0.0
pskobxjq,0.0
ztccj,1.0
litripdzuy,1.0
xxzzqtnak,0.0
tmgoh,0.0
qpghxoz,0.0
xzoyokbm,0.0
zirdi,1.0
mybjimrcyc,1.0
ibxz,0.0
lzvmtyby,1.0
ycizydwniy,1.0
udbcjcelj,1.0
tftb,0.0
wervnwt,1.0
cqwcidc,1.0
pkjqnnm,0.0
ahota,0.0
fmjpp,0.0
fssfngpi,0.0
fykmn,0.0
ionsikk,0.0
vjdqirpc,1.0
jiyam,0.0
bypzbuiqe,1.0
itxoz,0.0
koqppj,0.0
tmein,1.0
bsqsmx,0.0
mdtlcm,1.0
rtrrm,1.0
xkghgggzy,0.0
tgfgfzo,0.0
dtvey,1.0
bhazhi,0.0
oaaqff,0.0
njkb,0.0
cnmrdemzj,1.0
bqsayzptx,0.0
hofg,0.0
kjpfi,0.0
kakib,0.0
wpywzyuwdw,1.0
vpbdlqutvw,1.0
dyuuuvl,1.0
yfigoip,0.0
zkpb,0.0
amkyskhsfm,0.0
njxgzfns,0.0
zsokq,0.0
psmazxym,0.0
ngbjoqk,0.0
bzgkgsxzi,0.0
qctez,1.0
bsgq,0.0
bapbi,0.0
qcyiidmlvp,1.0
qyue,1.0
vbdue,1.0
znfzh,0.0
phaobpn,0.0
uejin,1.0
bgxjybj,0.0
qjxopjzktk,0.0
yuprdr,1.0
tfkinbxmt,0.0
zjvpuddlwc,1.0
atiobmtx,0.0
bfzttzykon,0.0
ganyfkba,0.0
xghikgtkf,0.0
juwe,1.0
wviwtpicc,1.0
zdniw,1.0
wtucid,1.0
kyfzanynks,0.0
pmtpejmw,1.0
cuqn,1.0
jnvrnyirml,1.0
qylbjmyu,1.0
qggymx,0.0
yuzdbedu,1.0
rcrqrdu,1.0
muuy,1.0
ykstsomihi,0.0
hykhkimnt,0.0
qutpwepw,1.0
pmxqphbo,0.0
ojxb,0.0
atatnmisan,0.0
jnlqqiidm,1.0
kjixk,0.0
jwpzeze,1.0
ixxgjp,0.0
lnrdplbpqm,1.0
pbnxsmxs,0.0
cernzeumvd,1.0
qxmk,0.0
jfqjyg,0.0
jijyup,1.0
iljq,1.0
zrpc,1.0
onqztgzq,0.0
wnic,1.0
ruuyzb,1.0
yueeezd,1.0
skaqgaftzz,0.0
ifpkpzjxo,0.0
jqaxksf,0.0
hqtjy,0.0
jkammsgk,0.0
jqmb,0.0
sqgmb,0.0
pngixsbf,0.0
mbtafjyajq,0.0
wutd,1.0
ldrimbnd,1.0
xzkpygokz,0.0
ulmbbueww,1.0
mpwuzzzbez,1.0
tpjai,0.0
xfff,0.0
tijej,1.0
zuviymeuvy,1.0
erjni,1.0
zbizsks,0.0
ntep,1.0
eljip,1.0
gghfzyt,0.0
czduri,1.0
hbqhpo,0.0
bpqdtmuvv,1.0
wnijnemqbv,1.0
bxkinnyp,0.0
nwizp,1.0
jbeiwvutvn,1.0
eplrz,1.0
gjsmpiy,0.0
cwpz,1.0
dpqmpbiv,1.0
vvzqdrmr,1.0
vlem,1.0
mublbiqne,1.0
zymy,1.0
qtdrtpqb,1.0
oybpgxma,0.0
tywyi,1.0
ciqncyee,1.0
njpbmv,1.0
zpqjf,0.0
tsxmfzki,0.0
yputd,1.0
vwqtbnt,1.0
itjzkqnhmz,0.0
inbbune,1.0
lzzy,1.0
lbzcptqcdd,1.0
nbnthh,0.0
retr,1.0
ndiiuql,1.0
qtwvy,1.0
unzypmlib,1.0
bpebjzzcz,1.0
byimqtj,1.0
yrzqbqdyv,1.0
ifztfkb,0.0
iygzyof,0.0
qqbup,1.0
iznikiap,0.0
igsyyobx,0.0
bnttrbelvu,1.0
xnpxyksn,0.0
hmjqxt,0.0
yfbxpgiyk,0.0
zthig,0.0
pdjwywcutb,1.0
tptknshfx,0.0
mmjtuzdqq,1.0
dezrzqci,1.0
liijndj,1.0
djmmulei,1.0
ncyptq,1.0
aizyi,0.0
jxoh,0.0
ynzhfxbyq,0.0
unntctwicd,1.0
uzwl,1.0
dwqijw,1.0
jwcjnr,1.0
ljjr,1.0
zpjkp,0.0
jqyfnao,0.0
rddplnbmp,1.0
zjezp,1.0
vuitpdqn,1.0
ttzij,1.0
uilcy,1.0
